Year of Year Date	Adjusted for Inflation Notes	Adjusted for Inflation Title	Format	Metric	Year	Value (For Charting)	Adjusted for Inflation Flag	Year Date	Format Value # (Billion)	Format Value # (Million)	Total Value # (Billion)	Total Value # (Million)	Total Value For Year	Value (Actual)	Year (copy)
2005			Cassette	Value	2005	13.1		2005		$13.1M	$12.3B		$12289.9B	13.1	2005
2015			CD Single	Value	2015	1.196946610		2015		$1.2M	$6.7B		$6710.8B	1.196946610	2015
2015			Paid Subscription	Value	2015	1156.708513551		2015	$1.2B		$6.7B		$6710.8B	1156.708513551	2015
2017			Download Single	Value	2017	667.875936447		2017		$667.9M	$8.5B		$8503.2B	667.875936447	2017
1986			Vinyl Single	Value	1986	228.1		1986		$228.1M	$4.6B		$4640.7B	228.1	1986
2003			DVD Audio	Value	2003	8		2003		$8.0M	$11.9B		$11854.4B	8	2003
2006			Download Album	Value	2006	275.9		2006		$275.9M	$11.8B		$11759.5B	275.9	2006
2011			Download Music Video	Value	2011	32.4		2011		$32.4M	$7.1B		$7135.6B	32.4	2011
1992			CD	Value	1992	5326.5		1992	$5.3B		$9.0B		$9024.0B	5326.5	1992
2010			Download Album	Value	2010	872.4		2010		$872.4M	$7.0B		$7013.8B	872.4	2010
2007			Vinyl Single	Value	2007	4		2007		$4.0M	$10.7B		$10650.9B	4	2007
2017			CD Single	Value	2017	0.182339213		2017		$0.2M	$8.5B		$8503.2B	0.182339213	2017
1978			Vinyl Single	Value	1978	260.3		1978		$260.3M	$4.1B		$4131.4B	260.3	1978
2003			Music Video (Physical)	Value	2003	399.9		2003		$399.9M	$11.9B		$11854.4B	399.9	2003
1999			Cassette Single	Value	1999	48		1999		$48.0M	$14.6B		$14584.7B	48	1999
1998			Cassette Single	Value	1998	94.4		1998		$94.4M	$13.7B		$13711.2B	94.4	1998
1981			Cassette	Value	1981	1062.8		1981	$1.1B		$4.0B		$3973.9B	1062.8	1981
1995			Cassette Single	Value	1995	236.3		1995		$236.3M	$12.3B		$12320.3B	236.3	1995
2020			Download Single	Value	2020	312.819057954		2020		$312.8M	$12.2B		$12153.4B	312.819057954	2020
2014			SACD	Value	2014	0.76344539		2014		$0.8M	$6.7B		$6694.7B	0.76344539	2014
2019			Synchronization	Value	2019	281.112735759		2019		$281.1M	$11.1B		$11130.4B	281.112735759	2019
1998			Music Video (Physical)	Value	1998	508		1998		$508.0M	$13.7B		$13711.2B	508	1998
2002			DVD Audio	Value	2002	8.5		2002		$8.5M	$12.6B		$12615.8B	8.5	2002
2012			SoundExchange Distributions	Value	2012	462		2012		$462.0M	$7.0B		$7015.7B	462	2012
1999			CD	Value	1999	12816.3		1999	$12.8B		$14.6B		$14584.7B	12816.3	1999
2020			Vinyl Single	Value	2020	6.317220049		2020		$6.3M	$12.2B		$12153.4B	6.317220049	2020
1985			LP/EP	Value	1985	1280.5		1985	$1.3B		$4.4B		$4362.5B	1280.5	1985
1993			Vinyl Single	Value	1993	51.2		1993		$51.2M	$10.0B		$10046.6B	51.2	1993
2010			CD Single	Value	2010	2.9		2010		$2.9M	$7.0B		$7013.8B	2.9	2010
1983			Vinyl Single	Value	1983	269.3		1983		$269.3M	$3.8B		$3786.4B	269.3	1983
1994			Cassette	Value	1994	2976.4		1994	$3.0B		$12.1B		$12068.0B	2976.4	1994
2009			Ringtones & Ringbacks	Value	2009	702.8		2009		$702.8M	$7.8B		$7831.0B	702.8	2009
2008			Ringtones & Ringbacks	Value	2008	977.1		2008		$977.1M	$8.8B		$8776.8B	977.1	2008
2019			CD Single	Value	2019	0.062558667		2019		$0.1M	$11.1B		$11130.4B	0.062558667	2019
1998			CD	Value	1998	11416		1998	$11.4B		$13.7B		$13711.2B	11416	1998
1993			CD	Value	1993	6511.4		1993	$6.5B		$10.0B		$10046.6B	6511.4	1993
1974			Other Tapes	Value	1974	13.3		1974		$13.3M	$2.2B		$2199.7B	13.3	1974
2005			Vinyl Single	Value	2005	13.2		2005		$13.2M	$12.3B		$12289.9B	13.2	2005
