Common name,Origin,First developed,Comment,Use
Abram,US,1850,"A small apple with red flush. Flesh white, tender, subacid. Use December - March.",Eating
Acheson,Canada,Introduced 1941,"Fruit large, greenish yellow. P Delicious x unknown. Use August - September",Eating
Acklam Russet,England,1768,"A small russet apple. An excellent dessert apple of first rate quality, ripe in November, keep till March",Eating
Adams Pearmain,England,Introduced 1826,"A dessert apple. First introduced under the name ""Norfolk Pippin"". W 64, H 63. Flesh yellow, crisp, firm, juicy, subacid, aromatic, very good.",Eating
"Adina (syn. Frankad, Satark)",Australia,,"A large red apple. Flesh firm, juicy, sweet, very good. Tree vigorous.",Eating
Admiral,Czech Republic,2012,"New very popular variety. Flesh firm, crisp, juicy with very good taste. Robust, healthy, scab resistant variety with excellent keeping qualities and taste.",Eating
Advance,England,1908,Early dessert apple. Medium size. Yellow with brown-red flush. Award of Merit from RHS in 1932. Pick mid August. Use August - September.,Eating
Adzamovka,Croatia,,"A yellow conical apple with red stripes. W 60-70, H 50-60. We 110-150. Flesh juicy, subacid. Use November.","Eating, Cider"
Ahrina,Germany,1993,"A large roundish apple. Flesh juicy, subacid. Pick late September. Use November - February.",Eating
Aia Ilu,Estonia,1946,"Apple is large in size, weighing 250–300 g. It is yellow, juicy, and bittersweet with a weak aroma.",Eating
"Airlie Red Flesh (Newell-Kimzey red flesh, Aerlie's Red Flesh)",US,1961,"A large, conic apple. Light yellow-green skin strewn with white dots, occasionally with a faint reddish orange blush. Light pink to deep red flesh is crisp, sweet and mildly tart.",Eating
Akane,Japan,1970,Jonathan × Worcester Pearmain. Tangy taste.,Eating
Åkerö,Sweden,1759,"Apple is egg-shaped, medium to large in size, sweet and aromatic. H 68, W 68. Stalk 20–25 mm. Best in November, keeps well till February. Grown mostly in Sweden and Estonia.",Eating
Akin,US,1831,"Tree vigorous. W 68, H 52. Stalk 20 mm. Flesh yellow crisp, tender, juicy, subacid, aromatic, good to very good. Use January - June.",Eating
Alamanka,Macedonia,,"A green apple (round to conical) with red stripes. We 100. Flesh juicy, subacid with poor aroma. Pick October. Use November.",Eating
Alantapfel(syn. Princesse Noble),Germany,1750,"An oblong apple. W 56-63, H 59-73. Stalk 13-16mm. Flesh sugary, aromatic. Pick October. Use December - March.",Eating
Alaska,US,Introduced 1944,Flesh white. Tree heavy producer.,Eating
Albrechtapfel(syn. Prinz Albrecht von Preussen),Germany,1865,"P Alexander x unknown. W 60 - 85, H 55-63, We 80-200. Stalk 10 – 30 mm. Pick late September. Use October - December.","Eating, Cooking"
Albury Park Nonsuch,England,1892,"Yellow with red flush. AM from RHS in 1892. Flesh crisp, juicy, subacid. Use December - March.",Cooking
Aldenham Purple,England,1925,"A red apple. W 63, H 48. Stalk 15–25 mm. Pick September. Use September - October.","Eating, Cooking"
Alderman,Scotland,1923,"A golden yellow apple. W 90, H 71. Stalk short to medium. Flesh firm, crisp, juicy, acid. Pick mid September. Use October - December.",Baking
"Alexander(syn. Kaiser Alexander, Emperor Alexander, Grand Alexander, Aport)",Russia,1800,"A very large apple. W 95, H 75. Stalk 18 mm. Flesh faint yellow, firm, crisp, juicy, very soft, mild subacid, fair to good. Pick early October. Pick mid September. Use September - December.",Eating
Alfriston,England,1780,"Raised at Uckfield Sussex by Mr Shepherd. A large acid green apple. Flesh crisp, yellow, subacid, pear-like flavour. Award of Merit from RHS in 1920. W 83, H 76. Pick early October. Use November - April.",Cooking
Alice,Sweden,1964,"Medium size. Yellow with red stripes. Flesh juicy, aromatic. P Ingrid Marie x Gyllenkroks Astrakan. Pick September. Use September - Oct.",Eating
Alkmene,Germany,1930,"P: Cox's Orange Pippin × Doktor Oldenburg. W 58, H 58, We 120. Stalk 9 – 20 mm. Pick September. Use September - November.",Eating
Allen´s Everlasting,?,1864,Late-keeping desert apple. First Class Certificate from RHS in 1899. Pick mid October. Use February - April.,Eating
Allington Pippin,United Kingdom,1880,"A versatile English dessert apple raised by horticulturalist Thomas Laxton some time before 1884. Exhibited as Brown's South Lincoln Beauty, the name was changed to Allington Pippin by Bunyard Nursery in 1896. A cross of Cox's Orange Pippin and King of the Pippins. A small apple, aromatic, with a pineapple-like flavour, keeps its shape when cooked. H 61-68 W 68-70. Stalk 15 mm. First Class Certificate from RHS in 1894. Pick late September. Use October - December.","Eating, Cooking, Dessert"
All Summer,Pa. US,1850,"Flesh white, tender, very good. Tree slow growth, annual bearer, productive. Stalk slender. Use July - August.",Eating
Almeda,US,Introduced 1939,"Fruit large, green. Flesh subacid. Ripens July 25 - August 5.",Cooking
Altländer Pfannkuchenapfel,Germany,1840,"W 67, H 51, We 115. Stalk 10 –20 mm. Pick October. Use March - May.","Cooking, Eating"
"Alvanija(syn. Elvanija, Ilvanija)",Croatia,,"A green oblong apple with red flush. W 60-75, H 65-80, We 110-140. Flesh firm, juicy. Use October.","Eating, Cooking, Cider"
Ambrosia,Canada,1980,"Medium to large in size, mostly red coloration with yellow patches. Has cream-coloured flesh with a sweet, crisp, aromatic flavour and low acidity. Ambrosia trees are hardy and no major disadvantages have yet been identified.",Eating
American Beauty,US,1855,"Tree vigorous, productive, annual bearer. Stalk short. Flesh yellowish, tender, juicy, subacid, aromativ, very good. Use December - April.",Eating
"American Golden Pippin(syn. Golden Pippin, Ribbed Pippin, Golding, New York Greening, Newtown Greening, Golden Apple)",US,1850,"Yellow with russet. Flesh yellowish, juicy, aromatic, subacid, very good. W 79. H 65. Stalk 16 mm. Tree does not bear young. Use November - February.",Eating
"American Golden Russet(syn. Golden Russet, Sheep Nose, Bullock´s Pippin, Little Pearmain.",US,1780,"Yellow with brown overcolour and grey russet. W 64-74. H 58-72. Stalk 13–23 mm. Flesh yellowish, tender, juicy sugary, lightly aromatic, best. Use October - January.",Eating
American Melon see Melon American,,,,
American Mother see Mother,,,,
American Summer Pearmain see Summer Pearmain American,,,,
Anabela,Brazil,Introduced 1995,"P Gala x Anna. A yellow apple with (30-40%) red flush. Flesh juicy, sweet, very good. Tree vigorous.",Eating
Ananas Reinette,Netherlands,1800,"A small yellow apple with pineapple flavor. W 48-65mm, H 52-65mm. We 115. Stalk 15 – 20 mm. Picking October. Use December - February.",Eating
"Anisovka(syn. Anis koritschnevoje, Anis polosatyiy)",Russia,1850,"Medium size, round, greenish yellow with red stripes. Pick September. Use October - December.","Cooking, Eating"
Anna,Israel,Introduced 1963,Colour is yellow with a red blush. P Red Hadassiya x Golden Delicious. This variety does not grow well in the cold and prefers heat and humidity. Tree annually productive.,Eating
Annie Elizabeth,England,1868,"Large yellow apple, FCC from RHS in 1868. W 79-87, H 63-65. Stalk 9–18 mm. Pick late September - early October. Use November - April.","Cooking, Eating"
Annurca,Italy,1876,"Very old apple; possibly one of the oldest of all. Believed to be much older than first mention in Pasquale's Manuale di Arboricultura, 1876. May be related to apples found in frescoes found in Herculaneum or Pompeii if not the same one.[30]",Eating
Antonovka,Russia,,"A very old Russian variety, often planted at dachas. Apples are large, yellow-green and bracingly tart to eat out of hand, but superb for cooking, as they keep their shape. Stalk 10 mm. Extremely tolerant of cold weather, and because it produces a single, deep taproot (unusual among apple trees), Antonovka is propagated for use as a rootstock. Antonovka rootstock provides a cold-hardy (to −45 °C), well-anchored, vigorous, standard-sized tree.","Cooking, Cider"
Antonovka Safrannoje,Russia,1909,A large yellow apple with red flush. P Antonovka x Renet Orleanski,"Eating, Cooking"
Apfel aus Grignon,?,1800,A yellow apple with red flush and russet. W 82 H 66. Stalk 30 mm. Use December - March.,"Eating, Cooking"
Api,France,1628,Very tiny apple. Would fit in the palm of the hand of an adult.,Eating
Api Noir,France,1780,"A desert apple, inferior to the Api.",Eating
Apollo,Germany,1976,"Cox's Orange Pippin × Geheimrat Dr. Oldenburg. W 69, H 59, We 140. Stalk 13 mm. Pick September. Use September - October.",Eating
Arapka(syn. Bugarka),Montenegro,,"A red oblong conical apple. W 61, H 66. We 118. Flesh soft, juicy, sweet, subacid, with a pronounced flavour. Use October - May.",Cooking
Ard Cairn Russet,Ireland,1890,Medium sized long-keeping dessert apple. Award of Merit from RHS in 1910. Pick late September - early October. Use October - January.,Eating
Ariane,France,2002,Scab resistant. Developed at the National Institute of Agricultural Research in France.,Eating
"Arkansas Black(syn. Arkansas, Mammoth Black Twig)",US,1870,"Hard and crunchy; stores well. W 69, H 60. Stalk 20 mm. Very deep red, appearing black from a distance. Flesh yellow, firm, tewnder, juicy, subacid, crisp, good. Use December - May.",Eating
Armorel,England,1893,"A small yellow apple with russet. FCC from RHS in 1892. Flesh crisp, good. Use February - May.",Eating
Aroma,Sweden,1947,"A yellow apple with red flush. W 63, H 58. P Ingrid Marie x Filippa. Use November - December.",Eating
Aromatic Russet,England,1870,"Flesh greenish white, firm, subacid, aromatic. Use November - February.",Eating
Arreskov,Denmark,1860,"A yellow apple with a pleasant aroma reminding of gravenstein. W 77-85mm, H 66-75mm. Stalk 8-15mm.",Eating
Arthur Turner,England,1912,"W 80, H 48-76. Stalk 10–16 mm. Large golden cooker: prone to mildew but scab resistant. Award of Merit from RHS in 1912. Pick late September. Use September - November.","Cooking, Baking"
Arthur W. Barnes,England,1902,"P Gascoyne´s Scarlet x Cox Orange. A yellow apple with red flush. W 82, H 70. Stalk medium. Flesh white, juicy, acid. Pick late September. Use November - March.",Cooking
Ashmead's Kernel,England,1700,"W 57, H 57. Flesh pale yellow, subacid and very aromatic. W 54-64, H 54-57. Stalk 7–12 mm. Pick early-mid October. Use December - February.",Eating
Ashmore,US,1840,"W 85, H 66. Stalk 11 mm. Flesh yellowish-white, crisp, juicy, subacid, very good. Use September - October.","Cooking, Eating"
Atalanta,England,1891,Lemon yellow with red streaks. AM from RHS in 1891. Use November - January.,"Cooking, Eating"
Atlas,Canada,1924,"A truncate conical yellow apple with red stripes. W 67, H 67. Pick September. Use October - December.","Eating, Cooking"
Auksis,Lithuania,1951,McIntosh x Gravenstein,Eating
Auralia see Tumanga,,,,
Aurora Golden Gala,Canada,2003,"Dessert apple; medium size, sweet, juicy, crisp, firm, very long storage life.",Eating
Austin Sweet,US,1875,"Flesh white, juicy, sweet, very good.Stalk short. Use September - December.",Eating
Autumn Glory,US,2011,"The Autumn Glory variety is a hybrid of the Fuji (apple) and the Golden Delicious apple, featuring a red over golden background. Very sweet, firm flesh with a subtle ""cinnamon"" flavor. Produced only by Domex Superfresh Growers in Washington's Yakima Valley.",Eating
Automn Pearmain,England,1588,"Green with russet and red overcolour. H 60-68, W 67-72. Stalk 12 – 17 mm. Flesh cream coloured, nutty and aromatic. Pick late September. Use September - November.",Eating
Avajlilja,Turkey,,"A green apple with red flush. Tolerant to common apple diseases and pests. Flesh sweet sour taste, weak aroma.",
Babovača,Montenegro,,"A green apple with red flush. W 96, H 79, We 250. Stalk very short. Flesh soft, sweet and sour. Use October - April.",
Bailey(syn. Bailey Sweet).,US,1840,"Red apple with considerable white flecks. Has some russeting. W 86, H 74. Stalk 21 mm. Flesh yellow, tender, juicy, very sweet, very good. Use October.","Eating, Cooking"
Baker´s Delicious,Wales,1932,"A yellow apple with orange-red flush. W 63, H 58. Stalk short. Flesh white, crisp, juicy, aromatic. Pick late August - early September. Use August - September.",Eating
"Baldwin(syn. Woodpecker, Pecker, Butters",US,1740,"Flesh yellowish white, crisp, sweet to subacid flavor, very good. W 81, H 68. Stalk 22 mm. Very old variety for North America. Makes much juice. Use November - March.","Cooking, Eating"
Ballinora,England,1898,"Golden yellow with red flush. W 79, H 56. AM from RHS in 1898. Use December - January.","Cooking, Eating"
